review,date,score,helpful,number_of_reviews,number_of_ratings,average_user_score
"A fun reinvention of the Pokémon formula, hopefully the next version keeps this change while giving it a better look","Jan 29, 2022",10,49 of 62 users found this helpful,2 Reviews,2 Ratings,0.0
"A fun, challenging (at times), Pokemon game with an addictive gameplay loop and an interesting system of fighting and catching Pokemon. It's a huge step in the right direction! The graphics, performance, and multiplayer options need work, but those are the only major flaws. The story, pacing, battles, catching mechanics, exploration, and general gameplay are such an improvement over Sword/Shield and Sun/Moon.There are major series changes that make big differences in quality of life, such as no limit to the number of moves a Pokemon can learn (they just have 4 memorized pre-battles) and not having to trade to evolve certain Pokemon anymore (using rare items on them instead). Exploration, crafting, gathering, and finding rare (and shiny) Pokemon have never been this fun. Gone is much of the tedium and boredom found in previous games.If you care only about graphics or online competitive battles, you will find reasons to not like this game. But if you're into the collecting aspect of Pokemon, you will love this. It's worth noting that the graphics and performance issues are much less noticeable when playing handheld.","Jan 30, 2022",10,52 of 72 users found this helpful,60 Reviews,111 Ratings,5.8
El juego más infravalorado de la saga y posiblemente el mejor de todos. Nintendo y GF lo han vuelto a hacer años después. BRAVO.,"Jan 29, 2022",10,48 of 62 users found this helpful,8 Reviews,12 Ratings,7.2
"Best pokemon game of all time! New pokemon, new stuff to do, new ways to catch pokemon and better gameplay","Jan 30, 2022",10,28 of 35 users found this helpful,1 Review,4 Ratings,5.0
"One outstanding experience, that is certain. I absolutely love the direction GameFreak is going for with this whole new installment for the Pokemon series, and it is very refreshing, while being very needed at the same time. Catching Pokemon in this game is more fun than ever, and I'm a fan since the first era with the FireRed/LeafGreen versions. It's way more than a nostalgia trip : it is a brand new experience and I sincerely do hope that we will see a bigger sequel to it because the game really deserves one with further gameplay enhancements, maybe a bigger map with more activities. Cheers to all the haters! ;)","Feb 3, 2022",10,4 of 8 users found this helpful,1 Review,14 Ratings,9.0
"Incredible game that moves the Pokemon series forward in a fresh new direction. The gameplay loop is fun, and while the graphics aren't great, they are more than fine. Gameplay should always take precedent over graphics, and Legends: Arceus is a joy to play!","Jan 29, 2022",10,50 of 69 users found this helpful,5 Reviews,6 Ratings,8.0
"Im so addicted! New mechanics and ideas are really fantastic! Can’t stop playing it! Over 40 hrs and still can’t put down the console! The world is really beautifull, exploration is truly amazing. The only grip is the performance and graphics but the game has it own graphical moments. Must play for sure!","Feb 5, 2022",10,3 of 5 users found this helpful,2 Reviews,364 Ratings,6.6
"This is such a spectacular evolution for the Pokémon franchise. From the first few moments, you know you’re stepping into a new, fresh take on the series, and the game continues to surprise time and time again even into 40+ hours of gameplay.","Jan 30, 2022",10,33 of 44 users found this helpful,2 Reviews,10 Ratings,9.9
"A delight to play this game, perfect evolution of the saga with a magnificent exploration, completing the pokedex is very satisfying unlike in traditional pokemon that was more of a nuisance than anything else, graphically it is not bad at all but that is the least important, it's fun, it's addictive. Enjoy!","Feb 20, 2022",10,0 of 1 users found this helpful,9 Reviews,17 Ratings,7.2
"This is the best Pokémon game I've ever played. To me, it feels like what I thought I was playing when I was a child 20 years ago, but without having to imagine so much.","Feb 2, 2022",10,3 of 5 users found this helpful,2 Reviews,6 Ratings,6.8
"I'll get this out of the way, the graphics is the only thing imho that needs polish, but they are still servicable. I been playing the game for over 10 hours and honestly most fun I had in years with a Pokemon game. This game is testing grounds for future Pokemon games in this style. So let's put the graphics aside for a moment and look at the bigger picture here. Aside from Graphics do you want more. Pokemon games like this? I sure do, that's why despite the graphics needing more, that this game deserves a 10.","Jan 29, 2022",10,55 of 72 users found this helpful,11 Reviews,143 Ratings,10
Excellent step in the right direction for Pokemon. Do not listen to the bad reviews. They are weak and shall be forgotten!,"Jan 30, 2022",10,27 of 34 users found this helpful,4 Reviews,8 Ratings,9.4
"Finally this is the change in the saga what the true consumers demanded, hope the next generation with 1000 pokémon will be full open world and the best gen of all times.","Jan 31, 2022",10,24 of 29 users found this helpful,23 Reviews,29 Ratings,7.1
"A game with terrible graphics and technical issues but extremely fun and addictive gameplay. This is the right direction for Pokémon! It’s so much more enjoyable than the boring exploration and battles of Sw/Sh and S/M. Exploring, crafting, discovering new Pokémon. It’s a blast. Also the 0/10 reviews are from people who obviously didn’t even bother playing the game and are just hating on it because it looked bad in the trailers and they don’t like to be wrong.","Jan 29, 2022",10,48 of 60 users found this helpful,2 Reviews,6 Ratings,10
"Overall, this game is a breath of fresh air. It brings new elements and life to a system that has otherwise overstayed its welcome for the last few decades. I genuinely hope they keep this fusion of RPG/turn based system for Pokemon games to follow as it allowed the player actual choice and actual exploration that felt rewarding to me. Whether that be in the form of finding rare items or pokemon spawns, I never felt it was pointless to actually touch every corner of the admittedly large segmented areas.As for player choice, there were many times I had a marker on the map which indicated where I needed to go to progress the story which I just ignored. You can explore, catch, and train pokemon at your own pace which as most Pokemon fans know, isn't the norm. You can find rare items, pokemon, alpha pokemon, and everything else freely from your second time stepping into the fields which was really nice. Ontop of that, there are multiple ways to completed your pokedex. You can battle, you can capture, you can observe, or you can raise them yourself and learn things about them. You'll see a lot of people on here saying it felt tedious, but they had options. They just didn't explore them or take the time to read them.Of course there is a graphical downside, but I honestly never felt like it hindered my experience throughout my play through. It is an area they need to work on though going forward.Without going too much into it since I want this to be a spoiler free review, this game is amazing. I can't understand people who are trying to say this is the worse Pokemon game to ever exist. It is far from the worse and easily ranks as one of the best imo. I really hope they intend to keep this formula, because I don't know if I can revert to the old system in Gen9 after experiencing this. This is a fun game and if you actually read into the mechanics and into the side quest, they give you a fun idea of the NPCs take on the world, your character, and many other aspects.A lot of fun Easter Eggs are in the game too, so keep your eyes peeled for those!","Jan 29, 2022",10,46 of 59 users found this helpful,11 Reviews,12 Ratings,9.4
Best pokemon everhistory 10/10gameplay 10/10OST 10/10art/graphycs 7/10+1 for funny,"Jan 30, 2022",10,35 of 42 users found this helpful,11 Reviews,12 Ratings,2.5
"The best pokemon game so far. The world feels immersive, the gameplay is fun and escapes the old formula which was getting stale after every game being near enough a copy paste of the last.","Jan 30, 2022",10,40 of 50 users found this helpful,1 Review,3 Ratings,0.0
"I have played literally every Pokémon game over the last years. I still remember sitting in the car as my parents got me and my sister a Gameboy Color and a game for each of us, Pokemon Red for my sister, Pokemon Blue for me. I always had my rival growing up, trying to catch more, train harder, just over all be the better Pokémon trainer than my sister. She filled her Dex before me, but I had the first lvl 100 Pokémon.I’m older now, internet has definitely impacted my personal connection to the Pokémon franchise because it made me feel less connected to individuals, but Pokémon Legends Arceus brought the personal connection to Pokémon I’ve missed for so long over the years. Yes, I love the old mechanics, but after 20 years of them I do think it is time for a fresh start, and Arceus did just that.I see this game as Gen 1 of a whole new Pokémon experience, and in so I feel like this game is to be more fairly compared to Pokémon Yellow.I’ll first touch on Multiplayer, since I see most complaining on the lack of multiplayer, but this game is not a game meant to have all the fancy online features that take away the truest soul and heart of Pokémon, the reason we all attached to the original games. It was the connection we had with our Pokémon and trading Pokémon. That feeling you get when a companion you worked hard on leaves your party, you feel it. Battles will be coming, but they need to build the world for us first.Arceus needs to be seen as a foundation for what can come, and I truly believe Gamefreak sees it the same way. Think about it, the game starts off with us being sent into the past, before Gyms, before Pokémon centers, before even people and Pokémon achieved harmony. The world isn’t empty, it’s just fertile and ready for a civilization to be established. Jublife City is just the start.Mechanic wise, this game revolutionized how to play Pokémon. Being able to run and throwing out your Pokémon left and right to gather material, cycling through them as you get in a rhythm and collecting even faster because you have your Pokémon helping. Getting caught by a Pokémon and throwing out yours just so you can actually run away a good distance away from the Pokémon attacking you(no more hitting Run Away button for me!), throwing all six of your Pokémon out so they can interact with each other, or even running into the toward the enemy Pokémon as you tell your Pokémon to attack. The mechanics let you interact with your Pokémon in so many ways. My rating is technically 9.5 for this game. But it’s a damn good start for the next generation of Pokémon.","Jan 30, 2022",10,25 of 32 users found this helpful,3 Reviews,3 Ratings,0.0
The Pokemon game I've been waiting for since I first watched the anime as a kid.Visuals are a little lacking but everything else is amazing.8/10 inflated to battle the trolls.,"Jan 30, 2022",10,33 of 40 users found this helpful,5 Reviews,8 Ratings,5.3
"Pokemon Leyendas: Arceus es un juegazo, gráficamente es normal, pero lo que es en el resto de apartados, simplemente lo hace ser uno de los mejores juegos, te atrapa de una manera descontrolada, no es repetitivo como alguno creerán, la historia es buena (si quieren historias mejores, cómprense pelijuegos o directamente vayan al cine) el cambio en la jugabilidad y el sistema de combate lo hace más dinámico y fluido, que te ataquen los pkmns, le da un toque de dificultad nuevo, que haya contenido recortado, se entiende, porque es una época pasada, lo de la distorsión simplemente es un añadido muy divertido, pelear y capturar con pkmns alfa es otra inclusión muy buena. Solo cómprenlo y diviértanse.","Jan 29, 2022",10,51 of 71 users found this helpful,21 Reviews,96 Ratings,5.1
"It's been a long time since I've picked up a pokemon game. Think alpha sapphire was the last one. I remember picking up pokemon red. And it has come a long way. After playing this game, all I want now is for them to do the remake of the Kanto region. With all the original pokemon.","Feb 2, 2022",10,2 of 4 users found this helpful,1 Review,1 Rating,0.0
a refreshing new take on the series the ball-catching mechanics are great and I love the options the game gives graphics could be better but the story is also very good.,"Feb 21, 2022",10,0 of 0 users found this helpful,18 Reviews,70 Ratings,9.0
"This is a new masterpiece brought to the pokemon community. I'll try to go over the positive elements and things to improve on. I'll also try to make it free of spoilers too.""But things to improve on? You've rated this game 10 and it has things to work on?"" Sure do! I'm rating a game based on the fun I'm having, and the urge to continue playing, and both those things are over the roof. I'm having a blast, and the people around me who bought it too seems to be in the same place. So this is totally worth a 10 in my opinion.Am I giving this a 10 just because it is pokemon? Absolutely not. Pokemon in the last few years has been hard to finish, in the sense of getting boring before you get to the good part ( The end game)Lets start with the positives:- Catching mecanics are really fun, using items to lure in, stun, scare pokemon while having new pokeballs that play with distance and surprise is a blast. Even if I have every pokemon in my pokemon Home up to this game, I'm enjoying catching everything I see for the first time in years. Trying to catch a pokemon by surprise is also really rewarding and fun.- Overworld use of pokemon: Being able to chose which pokemon to throw in at any time is really interresting. Like preparing the right pokeball in case something goes wrong when catching, or knowing a pokemon of a certain type is hidden somewhere and using the best pokemon to uncover it.- Crafting and in game economy is meaningful, the world is full of resources to look for and the money has its uses so you don't hoard it ( Pokemon has been giving too much to players in the last few games, to the point where it's hard to spend it all)- Pokedex feels like you're really working on it, as it is not filling itslef on its own with just 1 encounter. While a good portion of it just fills itslef while playing normally, I often stop to check on the pokemon in front of me to see if I can work on something. The pokedex progression is also the game progression and it really feels like a fun goal to work on.- Combat: Some base elements makes it more refreshing, like status effect for example, none of them last forever anymore, but they have some other effects, like the new sleep: drowsy, that makes the pokemon receive more damage. This makes such moves more interresting. In the previous game I was running around with a thunderwave pokemon and catching most of my stuff with that. The strong and agile style are interresting combined with the combat timeline. It's refreshing while staying close to tradition.- IVs/EVs: are gone. replaced by a new system that is simpler. Although I didn't mind the old system, it was a bit tedious and getting redundant for me, so I welcome the change here.- Breeding, while at first I was shocked that it was removed, was a boring portion of the game in my opinion. While I wouldnt mind having it back with a bit of rework, I feel the game is better without it for this iteration.- Alpha pokemon, really fun little challenges to catch these everywhere. Love it.- Shiny hunting is now fun in this game, gosh, it's weird to say that...Things to work on:- The story, while it is a good story for Pokemon (I'm not feeling bored like previous recent games) but I'm not feeling like I want to rush to know what's next. Maybe it is for the better though because I've taken my merry time to explore and experience the world and THAT is fun- Competitive: They really need to bring battle between players in the future, it feels off to not have that option and it a fun part of the endgame to build a good team to battle.- Graphics: I'm not sure why so many people complain here, the graphics are ok, even if not on par with games like breath of the wild, they are still ok. Pokemon has never been praised for its graphics... The lightning seems off in some places or when it rains, but other than that, it's totally fine.- Battle with noble pokemon. While I do like the general idea and I'm having fun during these battles, its a little offsetting to throw food into a pokemon's face to calm it down. Like hell I would calm down if you threw me my favorite food in the face... The idea is fun to play, but weird as a concept.- Inventory: I don't mind moving things to storage and managing my inventory, but surely some things can be done to help that process... same for pokemon ""boxes"" I guess. I feel I miss a couple things to improve the usage of both of these.","Feb 2, 2022",10,22 of 28 users found this helpful,2 Reviews,2 Ratings,0.0
"100% adicted, I love pokemon, played since Gen1, but I didnt enjoy the games since Y/X. And now im hooked!The quests, the new pokedex mechanics, the pokemon roaming , its all so much fun!! For real, giv it a try, you wont regret it","Jan 29, 2022",10,46 of 57 users found this helpful,1 Review,11 Ratings,6.4
This is a huge step for turn based rpgs.Its open world simple yet difficult at times.and for a company that only really made hand held games it a huge step.There is negative here but come on its a fun fresh new turn based experiance that i theory should get better,"Jan 29, 2022",10,44 of 53 users found this helpful,6 Reviews,6 Ratings,9.8
"I was really dissapointed with every mainline Pokemon game on Switch so far. Let's Go and BDSP were inferior versions of FRLG/Platinum imo and SwSh really lacked when it came to exploring and content over all. Therefore I can't believe it that GameFreak finally did it again, they finally made an awesome Pokemon game again. The new catching mechanics, huge areas to explore, an interesting story (in terms of a Pokemon game), a lot of side stuff to do etc. Now that's what I call a next level Pokemon game. Graphics could be better but they aren't bad either, up close they can look really nice but it's the draw/render distance that could be better.Overall it's the best Pokemon game since ORAS imo and every Pokemon should definitely pick this game up, you won't regret it","Feb 1, 2022",10,11 of 12 users found this helpful,24 Reviews,71 Ratings,6.4
"Oops!... GameFreak did it again.It's been awhile since GameFreak released a good Pokemon game. The last one is Pokemon Emerald, obvi!Holy Arceus, I don't know why it took sooooo long for them to release another masterpiece.I am excited to see this formula milked for the next 2 decades, me thinks.Looking forward to Pokemon Legends Kyurem or Deoxys!","Feb 13, 2022",10,0 of 1 users found this helpful,3 Reviews,3 Ratings,0.0
"This is finally the game we should have got a LONG TIME AGO, seamless battle, great world to explore, a bit of freedom in how you want to tackle things, this is for me the first real 3D pokemon game.There is some flaw, the pokedex is not that big, the move selection is a bit shortened, and there. is quite a lot of repetition, an lack any form of PVP even casually, but aside from this this is the best pokemon experience so far","Jan 30, 2022",10,34 of 42 users found this helpful,12 Reviews,40 Ratings,9.4
this is the best game GF has made in more than 10 years. i hope they continue in this direction,"Jan 30, 2022",10,44 of 53 users found this helpful,25 Reviews,40 Ratings,6.1
"This is everything I imagined Pokemon to be as a kid, while there are some things I think need an adjustment, the entire game is absolutely refreshing. I love being able to find shiny Pokemon in the wild just sitting there. If this is the future of all Pokemon games I am absolutely on board, definitely my favorite game yet!","Feb 2, 2022",10,3 of 5 users found this helpful,5 Reviews,10 Ratings,9.1
Excellent game! Great start for a series I hope continues to evolve and put out multiple sequels.,"Jan 30, 2022",10,28 of 35 users found this helpful,2 Reviews,3 Ratings,0.0
The Pokemon game we needed. I recommend it for Pokemon fans as well as those who have never played a Pokemon game.,"Jan 29, 2022",10,46 of 59 users found this helpful,12 Reviews,78 Ratings,9.8
